Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
P32589	P32589	45	45	37	Heat shock protein homolog SSE1	SSE1	sp|P32589|HSP7F_YEAST Heat shock protein homolog SSE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSE1 PE=1 SV=4	1	45	45	37	66.4	66.4	56.7	77.365	693	693	0	323.31	0.5652	0.86356	22.508	155	0	Leave out requantified	65828000000	41494000000	24334000000				699	184;863;1489;1506;2183;2187;3178;3813;4091;4176;4478;5142;5569;6376;6589;6928;6929;7007;7211;8587;8588;8677;8962;8963;9001;9002;10424;10442;10695;11032;11093;12146;12803;12805;13150;13514;14057;14655;14744;14827;14828;15640;15766;15844;15946	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	186;876;1506;1523;2206;2210;3207;3845;4123;4208;4512;5189;5618;6429;6644;6987;6988;7066;7271;8660;8661;8752;9039;9040;9078;9079;10530;10548;10802;11143;11204;12267;12268;12932;12934;13280;13647;14197;14803;14892;14975;14976;14977;15793;15919;15998;16100	712;713;714;715;716;717;718;2786;2787;2788;2789;2790;2791;2792;2793;2794;2795;2796;2797;2798;2799;4729;4730;4731;4765;4766;4767;4768;4769;4770;4771;4772;4773;4774;4775;4776;4777;4778;4779;4780;4781;4782;4783;4784;4785;4786;4787;4788;4789;4790;4791;4792;4793;4794;4795;4796;4797;4798;4799;4800;4801;4802;4803;4804;4805;4806;4807;4808;4809;4810;4811;6921;6922;6923;6924;6939;6940;6941;6942;9944;9945;9946;11571;11572;11573;11574;12274;12275;12276;12277;12278;12279;12486;12487;12488;12489;12490;12491;12492;13342;13343;15364;15365;16632;16633;16634;16635;16636;16637;19008;19009;19010;19011;19012;19013;19014;19015;19721;19722;19723;19724;20672;20673;20674;20675;20676;20677;20678;20679;20680;20857;21377;25629;25630;25631;25632;25850;25851;25852;25853;25854;25855;25856;25857;25858;25859;25860;25861;25862;25863;25864;25865;25866;25867;25868;25869;26792;26793;26794;26795;26897;26898;26899;26900;26901;26902;26903;31107;31108;31144;31145;31873;32743;32744;32745;32746;32747;32748;32907;32908;32909;32910;35958;35959;35960;35961;35962;35963;35964;35965;35966;35967;37814;37815;37816;37817;37818;37819;37821;37822;38905;38906;38907;38908;38909;40254;42219;42220;42221;44139;44375;44376;44377;44378;44590;44591;44592;44593;44594;44595;44596;44597;44598;44599;44600;44601;44602;44603;44604;44605;44606;44607;44608;44609;44610;47111;47112;47483;47484;47729;47730;47993;47994	1231;1232;1233;1234;1235;1236;1237;1238;1239;1240;1241;1242;1243;1244;1245;1246;1247;1248;1249;5114;5115;5116;5117;5118;5119;5120;5121;5122;5123;5124;5125;5126;5127;5128;5129;5130;5131;5132;8768;8769;8770;8771;8772;8821;8822;8823;8824;8825;8826;8827;8828;8829;8830;8831;8832;8833;8834;8835;8836;8837;8838;8839;8840;8841;8842;8843;8844;8845;8846;8847;8848;8849;8850;8851;8852;8853;8854;8855;8856;8857;8858;8859;8860;8861;8862;8863;8864;8865;8866;8867;8868;8869;8870;8871;8872;8873;8874;8875;8876;12746;12747;12748;12749;12750;12751;12752;12775;12776;12777;12778;12779;12780;12781;12782;12783;12784;12785;12786;18184;18185;18186;21146;21147;21148;21149;21150;21151;21152;21153;22461;22462;22463;22464;22465;22466;22467;22468;22850;22851;22852;22853;22854;22855;22856;22857;22858;22859;22860;22861;22862;22863;22864;22865;24414;24415;28089;28090;28091;28092;28093;30444;30445;30446;30447;30448;30449;30450;30451;30452;30453;30454;30455;34665;34666;34667;34668;34669;34670;34671;34672;34673;34674;34675;34676;34677;34678;35914;35915;35916;35917;37491;37492;37493;37494;37495;37496;37497;37498;37499;37500;37501;37502;37503;37504;37505;37506;37507;37508;37509;37792;37793;38623;46185;46186;46187;46188;46189;46190;46191;46192;46193;46555;46556;46557;46558;46559;46560;46561;46562;46563;46564;46565;46566;46567;46568;46569;46570;46571;46572;46573;46574;46575;46576;46577;46578;46579;46580;46581;46582;46583;46584;48184;48185;48186;48187;48188;48189;48190;48191;48401;48402;48403;48404;48405;48406;48407;48408;48409;48410;48411;55872;55873;55928;55929;55930;57260;58763;58764;58765;58766;58767;58768;58769;58770;58771;58772;58773;58774;58775;58776;58777;58778;58779;58780;58781;58782;58783;58784;58785;59043;59044;59045;59046;59047;59048;59049;59050;59051;59052;59053;59054;64348;64349;64350;64351;64352;64353;64354;64355;64356;64357;64358;64359;64360;64361;64362;64363;64364;67634;67635;67636;67637;67638;67639;67640;67641;67642;67643;67646;67647;67648;67649;67650;67651;67652;69655;69656;69657;69658;69659;69660;69661;69662;69663;69664;72050;75478;75479;75480;75481;75482;79084;79570;79571;79572;79573;79574;79575;79576;79577;79578;79972;79973;79974;79975;79976;79977;79978;79979;79980;79981;79982;79983;79984;79985;79986;79987;79988;79989;79990;79991;79992;79993;79994;79995;79996;79997;79998;79999;80000;80001;80002;80003;80004;80005;80006;80007;80008;80009;84607;84608;84609;84610;84611;84612;85286;85287;85288;85289;85721;85722;85723;85724;86161;86162;86163;86164	1236;5130;8771;8833;12749;12777;18184;21146;22466;22863;24414;28090;30452;34675;35915;37492;37506;37792;38623;46185;46191;46580;48184;48189;48405;48410;55873;55929;57260;58780;59044;64362;67637;67650;69658;72050;75480;79084;79572;79972;79997;84608;85287;85724;86162	97;98;99	292;662;665	-1
P32590	P32590	10	2	2	Heat shock protein homolog SSE2	SSE2	sp|P32590|HSP79_YEAST Heat shock protein homolog SSE2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSE2 PE=1 SV=3	1	10	2	2	12.8	3	3	77.62	693	693	0.0089566	1.1616	NaN	NaN	NaN	1	0	Median	3838200	2647200	1191100				700	3813;4478;5142;8962;10292;12803;15640;15766;15845;15946	False;False;False;False;True;False;False;False;True;False	3845;4512;5189;9039;10398;12932;15793;15919;15999;16100	11571;11572;11573;11574;13342;13343;15364;15365;26792;26793;30741;37814;37815;37816;37817;37818;37819;47111;47112;47483;47484;47731;47993;47994	21146;21147;21148;21149;21150;21151;21152;21153;24414;24415;28089;28090;28091;28092;28093;48184;48185;55241;67634;67635;67636;67637;67638;67639;67640;67641;67642;67643;84607;84608;84609;84610;84611;84612;85286;85287;85288;85289;85725;86161;86162;86163;86164	21146;24414;28090;48184;55241;67637;84608;85287;85725;86162			-1
P32591	P32591	3	3	3	SWI/SNF complex subunit SWI3	SWI3	sp|P32591|SWI3_YEAST SWI/SNF complex subunit SWI3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SWI3 PE=1 SV=1	1	3	3	3	5.7	5.7	5.7	92.925	825	825	0	2.3566	NaN	NaN	NaN	0	0	Median	34754000	34754000	0				701	11924;12538;14371	True;True;True	12041;12666;14515	35210;37070;43167	62992;66383;77277	62992;66383;77277			-1
P32597	P32597	4	4	4	Nuclear protein STH1/NPS1	STH1	sp|P32597|STH1_YEAST Nuclear protein STH1/NPS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STH1 PE=1 SV=1	1	4	4	4	3.3	3.3	3.3	156.74	1359	1359	0	12.544	0.76028	1.2083	8.946	3	0	Median	233570000	120880000	112690000				702	2924;5959;13054;14575	True;True;True;True	2953;6011;13184;14720	9116;9117;9118;17742;17743;38607;43845;43846;43847	16618;16619;16620;32401;32402;69113;78529;78530;78531	16619;32402;69113;78530			-1
P32598	P32598	13	13	13	Serine/threonine-protein phosphatase PP1-2	GLC7	sp|P32598|PP12_YEAST Serine/threonine-protein phosphatase PP1-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GLC7 PE=1 SV=1	1	13	13	13	58.3	58.3	58.3	35.907	312	312	0	85.624	0.59549	0.91052	21.962	24	0	Leave out requantified	2123400000	1283200000	840130000				703	405;406;4515;4678;5213;5365;5366;7629;9246;10975;11975;13261;14875	True;True;True;True;True;True;True;True;True;True;True;True;True	411;412;4550;4717;5261;5413;5414;7692;9327;11086;12093;13392;15024	1460;1461;13445;13446;13447;13448;14139;14140;15589;15590;15591;16037;16038;16039;16040;16041;22512;22513;22514;22515;22516;22517;22518;27582;32604;32605;35359;35360;39194;39195;39196;39197;39198;39199;39200;39201;39202;39203;39204;39205;39206;39207;44730;44731;44732;44733	2622;2623;24579;24580;24581;24582;24583;24584;24585;25922;25923;25924;25925;25926;28499;28500;28501;28502;29296;29297;29298;29299;29300;29301;29302;29303;29304;40621;40622;40623;40624;40625;40626;40627;40628;40629;40630;40631;40632;40633;49586;58522;58523;58524;63267;63268;70170;70171;70172;70173;70174;70175;70176;70177;70178;70179;70180;70181;70182;70183;70184;70185;70186;70187;70188;70189;70190;70191;70192;70193;70194;70195;70196;70197;70198;70199;70200;70201;80219;80220;80221;80222;80223	2622;2623;24579;25926;28502;29298;29302;40621;49586;58524;63267;70190;80223			-1
P32599	P32599	23	23	23	Fimbrin	SAC6	sp|P32599|FIMB_YEAST Fimbrin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SAC6 PE=1 SV=1	1	23	23	23	53.1	53.1	53.1	71.772	642	642	0	148.55	0.66941	1.0087	19.157	44	0	Leave out requantified	5280500000	3215900000	2064600000				704	213;430;656;920;1820;1974;3991;4900;4901;5087;5625;5626;6683;6911;7931;8121;8122;8286;10984;10985;13271;14872;15386	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	215;438;666;933;1840;1996;4023;4941;4942;5134;5675;5676;6739;6968;7998;8188;8189;8355;11095;11096;13402;15021;15537	806;807;1534;1535;2178;2179;2180;2181;2961;2962;2963;2964;2965;5779;6289;6290;6291;6292;6293;6294;12057;12058;12059;12060;12061;14740;14741;14742;15221;15222;15223;15224;16807;16808;16809;16810;16811;16812;19987;19988;19989;19990;19991;19992;19993;20583;20584;20585;23591;23592;24090;24091;24092;24093;24094;24592;24593;24594;32624;32625;32626;39251;39252;44726;46356;46357;46358	1435;1436;2771;2772;4052;4053;4054;4055;4056;4057;5429;5430;5431;5432;5433;10685;11558;11559;11560;11561;11562;11563;11564;11565;11566;22082;22083;22084;22085;22086;22087;22088;22089;27031;27032;27033;27034;27035;27036;27037;27038;27039;27040;27041;27819;27820;27821;27822;27823;27824;27825;27826;30778;30779;30780;30781;30782;30783;30784;30785;30786;36356;36357;36358;36359;36360;36361;36362;36363;36364;36365;36366;36367;36368;36369;36370;37327;37328;37329;42567;42568;42569;42570;43470;43471;43472;43473;43474;43475;43476;43477;44408;44409;44410;58554;58555;58556;58557;58558;70287;70288;70289;80210;83264;83265;83266;83267	1436;2772;4056;5429;10685;11558;22087;27037;27041;27821;30778;30784;36368;37328;42568;43475;43476;44409;58556;58558;70289;80210;83267			-1
P32600	P32600	4	2	2	Serine/threonine-protein kinase TOR2	TOR2	sp|P32600|TOR2_YEAST Serine/threonine-protein kinase TOR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOR2 PE=1 SV=3	1	4	2	2	3.3	1.3	1.3	281.56	2474	2474	0	3.2637	NaN	NaN	NaN	1	0	Median	4126000	1749600	2376500				705	11867;12175;12288;12360	False;False;True;True	11983;12298;12412;12487	35070;36034;36328;36563	62781;64476;65020;65490;65491	62781;64476;65020;65490			-1
P32602	P32602	4	4	4	Alpha-soluble NSF attachment protein	SEC17	sp|P32602|SEC17_YEAST Alpha-soluble NSF attachment protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC17 PE=1 SV=4	1	4	4	4	24.3	24.3	24.3	32.802	292	292	0	73.312	0.6901	1.0322	4.3016	11	0	Leave out requantified	914530000	550240000	364290000				706	3192;6520;11848;13638	True;True;True;True	3221;6574;11964;13773	9982;9983;9984;9985;9986;19531;19532;19533;19534;19535;35026;35027;35028;35029;40655;40656;40657	18257;18258;18259;18260;18261;18262;18263;18264;18265;18266;18267;18268;35608;35609;35610;35611;35612;35613;35614;62702;62703;62704;62705;62706;62707;62708;62709;72795;72796;72797	18266;35612;62708;72797			-1
P32607	P32607	1	1	1	Retrograde regulation protein 1	RTG1	sp|P32607|RTG1_YEAST Retrograde regulation protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RTG1 PE=1 SV=2	1	1	1	1	5.6	5.6	5.6	19.016	177	177	0.0050137	1.3788	NaN	NaN	NaN	0	0	Median	0	0	0				707	6058	True	6110	18061	32992	32992			-1
P32608	P32608	2	2	2	Retrograde regulation protein 2	RTG2	sp|P32608|RTG2_YEAST Retrograde regulation protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RTG2 PE=1 SV=2	1	2	2	2	6	6	6	65.571	588	588	0	6.4513	0.63984	0.99128	31.125	2	0	Median	212790000	156890000	55901000				708	5439;15418	True;True	5487;15569	16244;16245;46428	29672;29673;29674;29675;83415	29675;83415			-1
P32610	P32610	6	6	6	V-type proton ATPase subunit D	VMA8	sp|P32610|VATD_YEAST V-type proton ATPase subunit D OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA8 PE=1 SV=1	1	6	6	6	30.1	30.1	30.1	29.194	256	256	0	81.715	0.8161	1.2483	31.044	12	0	Leave out requantified	2233900000	1205300000	1028600000				709	1026;3843;9552;11428;13193;14881	True;True;True;True;True;True	1041;3875;9644;11541;13323;15030	3264;11655;28511;28512;33688;33689;39016;39017;39018;39019;39020;39021;39022;44744;44745;44746;44747	5991;21316;51280;51281;60327;60328;69848;69849;69850;69851;69852;69853;69854;69855;69856;69857;69858;69859;69860;69861;69862;69863;69864;69865;69866;80238;80239;80240;80241;80242;80243;80244	5991;21316;51280;60328;69854;80238			-1
P32613	P32613	1	1	1	TRAPP-associated protein TCA17	TCA17	sp|P32613|TCA17_YEAST TRAPP-associated protein TCA17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TCA17 PE=1 SV=1	1	1	1	1	22.4	22.4	22.4	17.354	152	152	0	5.2619	0.54611	0.85609	8.1528	2	0	Median	8525800	5450100	3075700				710	12320	True	12445	36448;36449	65234;65235;65236;65237;65238;65239;65240	65235			-1
P32614	P32614	21	21	21	Fumarate reductase 1	FRD1	sp|P32614|FRDS_YEAST Fumarate reductase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FRD1 PE=1 SV=1	1	21	21	21	46.6	46.6	46.6	50.843	470	470	0	75.606	0.77482	1.1733	25.586	34	0	Leave out requantified	6258200000	3377200000	2880900000				711	1075;1985;3415;3750;4167;4228;4669;4810;7348;7387;7388;7507;7680;7723;8532;8533;11198;12644;12645;12989;14052	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1090;2007;3445;3781;4199;4260;4708;4851;7411;7450;7451;7570;7743;7787;8605;8606;11311;12772;12773;13119;14192	3402;3403;6328;10496;10497;11406;11407;12466;12467;12630;12631;14120;14504;21799;21800;21879;21880;21881;22185;22186;22187;22188;22189;22651;22871;22872;22873;22874;22875;25491;25492;25493;33176;33177;37352;37353;37354;37355;38407;38408;42204;42205	6287;6288;6289;6290;11640;19182;19183;20840;20841;20842;22820;22821;22822;22823;23119;23120;23121;23122;25895;25896;26633;39360;39361;39362;39363;39477;39478;39479;39480;39481;39482;39483;39484;39485;40044;40045;40046;40047;40048;40049;40050;40051;40872;41244;41245;41246;41247;41248;41249;41250;41251;41252;45964;45965;45966;45967;59489;59490;66812;66813;66814;66815;66816;66817;66818;66819;66820;68741;68742;68743;68744;68745;75451;75452	6288;11640;19183;20841;22820;23121;25895;26633;39363;39478;39485;40044;40872;41247;45964;45967;59490;66814;66817;68742;75451			-1
P32621	P32621	10	10	10	Guanosine-diphosphatase	GDA1	sp|P32621|GDA1_YEAST Guanosine-diphosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GDA1 PE=1 SV=1	1	10	10	10	33.8	33.8	33.8	56.821	518	518	0	64.345	0.68627	1.0433	30.332	11	0	Leave out requantified	874260000	474080000	400180000				712	2381;3158;3165;3481;9565;10046;13196;13774;13874;14190	True;True;True;True;True;True;True;True;True;True	2405;3187;3194;3511;9658;10146;13326;13911;14013;14333	7506;7507;9811;9829;9830;9831;10642;28551;28552;29909;29910;39026;41123;41124;41410;41411;41412;42628;42629	13754;13755;13756;17948;17977;17978;17979;17980;17981;17982;17983;17984;17985;17986;19445;51358;51359;51360;53740;53741;69871;73584;73585;73586;74065;74066;74067;74068;74069;74070;76251;76252	13754;17948;17980;19445;51360;53740;69871;73584;74067;76252			-1
P32623	P32623	1	1	1	Probable glycosidase CRH2	UTR2	sp|P32623|CRH2_YEAST Probable glycosidase CRH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UTR2 PE=1 SV=3	1	1	1	1	3.2	3.2	3.2	49.906	467	467	0	10.868	NaN	NaN	NaN	0	0	Median	41908000	41908000	0				713	16026	True	16181	48199	86564	86564			-1
P32626	P32626	4	4	4	Enolase-phosphatase E1	UTR4	sp|P32626|ENOPH_YEAST Enolase-phosphatase E1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UTR4 PE=1 SV=2	1	4	4	4	26.4	26.4	26.4	25.187	227	227	0	41.02	0.70425	1.0936	13.057	8	0	Leave out requantified	284560000	171890000	112670000				714	1890;3908;7136;14989	True;True;True;True	1911;3940;7196;15138	5973;5974;11832;11833;21179;21180;45090;45091	11001;11002;11003;11004;11005;11006;21653;21654;21655;21656;21657;21658;21659;21660;21661;21662;38295;38296;38297;80901;80902;80903	11004;21655;38296;80902			-1
P32628	P32628	7	7	7	UV excision repair protein RAD23	RAD23	sp|P32628|RAD23_YEAST UV excision repair protein RAD23 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RAD23 PE=1 SV=1	1	7	7	7	21.4	21.4	21.4	42.366	398	398	0	29.927	0.57559	0.87265	14.189	10	0	Leave out requantified	1515300000	1006700000	508670000				715	1192;2506;5866;7419;13199;13534;15166	True;True;True;True;True;True;True	1207;2530;5916;7482;13329;13669;15315	3787;3788;7827;7828;7829;7830;17476;17477;21946;21947;39032;39033;40316;40317;45678	7042;7043;14291;14292;14293;14294;14295;14296;14297;31934;31935;39616;39617;39618;39619;39620;69878;69879;69880;69881;69882;72160;72161;72162;81960	7042;14297;31934;39618;69878;72161;81960			-1
P32629	P32629	3	3	3	Mannan polymerase II complex ANP1 subunit	ANP1	sp|P32629|ANP1_YEAST Mannan polymerase II complex ANP1 subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ANP1 PE=1 SV=3	1	3	3	3	7.8	7.8	7.8	58.181	500	500	0	3.185	0.82034	1.3302	25.375	3	0	Leave out requantified	137230000	63476000	73754000				716	3279;4739;5742	True;True;True	3309;4778;5792	10195;14320;17169;17170	18668;26318;31354;31355;31356	18668;26318;31355			-1
P32642	P32642	1	1	1	Monothiol glutaredoxin-4	GRX4	sp|P32642|GLRX4_YEAST Monothiol glutaredoxin-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GRX4 PE=1 SV=1	1	1	1	1	5.3	5.3	5.3	27.493	244	244	0.0050114	1.3696	0.6877	0.99247	10.261	2	0	Median	17806000	9991600	7814700				717	3259	True	3289	10139;10140	18567;18568;18569	18567			-1
P32643	P32643	3	3	3	Trans-aconitate 3-methyltransferase	TMT1	sp|P32643|TMT1_YEAST Trans-aconitate 3-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TMT1 PE=1 SV=1	1	3	3	3	19.1	19.1	19.1	34.768	299	299	0	3.7161	0.48655	0.80449	42.061	4	0	Leave out requantified	126310000	77259000	49055000				718	8299;9339;11382	True;True;True	8368;9424;11495	24631;27850;33587;33588	44480;44481;50070;60174;60175	44480;50070;60174			-1
P32644	P32644	3	3	3	Putative ATP-dependent RNA helicase ECM32	ECM32	sp|P32644|ECM32_YEAST Putative ATP-dependent RNA helicase ECM32 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ECM32 PE=1 SV=1	1	3	3	3	5.4	5.4	5.4	126.97	1121	1121	0	2.6995	NaN	NaN	NaN	1	0	Median	172990000	113780000	59207000				719	1282;10922;13099	True;True;True	1298;11033;13229	4173;4174;32466;38754	7755;7756;58271;69402	7755;58271;69402			-1
P32657	P32657	4	4	4	Chromo domain-containing protein 1	CHD1	sp|P32657|CHD1_YEAST Chromo domain-containing protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CHD1 PE=1 SV=1	1	4	4	4	5.3	5.3	5.3	168.24	1468	1468	0	6.9995	0.73294	1.1775	25.197	3	0	Leave out requantified	227150000	126240000	100910000				720	3280;6888;11049;13188	True;True;True;True	3310;6944;11160;13318	10196;10197;20525;32790;39010	18669;18670;18671;18672;37237;58846;69841	18670;37237;58846;69841			-1
P32660;Q12675	P32660;Q12675	2;2	2;2	2;2	Phospholipid-transporting ATPase DNF1;Phospholipid-transporting ATPase DNF2	DNF1;DNF2	sp|P32660|ATC5_YEAST Phospholipid-transporting ATPase DNF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DNF1 PE=1 SV=2;sp|Q12675|ATC4_YEAST Phospholipid-transporting ATPase DNF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S28	2	2	2	2	1.5	1.5	1.5	177.8	1571	1571;1612	0.00096759	1.9681	0.79329	1.2192	16.069	3	0	Median	167910000	100530000	67376000				721	13337;13338	True;True	13469;13470	39474;39475;39476	70716;70717;70718	70716;70718			-1;-1
P32767	P32767	5	5	5	Importin beta-like protein KAP122	KAP122	sp|P32767|KA122_YEAST Importin beta-like protein KAP122 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KAP122 PE=1 SV=1	1	5	5	5	8.6	8.6	8.6	123.53	1081	1081	0	54.627	0.71308	1.084	11.176	4	0	Leave out requantified	97432000	67648000	29784000				722	45;4782;10703;12658;15956	True;True;True;True;True	45;4821;10810;12786;16110	185;186;187;14419;31888;37385;37386;48013	346;347;348;349;350;26475;57281;66864;66865;66866;86199	348;26475;57281;66866;86199			-1
P32769	P32769	3	3	3	Elongation factor 1 alpha-like protein	HBS1	sp|P32769|HBS1_YEAST Elongation factor 1 alpha-like protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HBS1 PE=1 SV=2	1	3	3	3	8.5	8.5	8.5	68.729	611	611	0	18.149	0.76513	1.1974	5.2533	2	0	Median	89147000	48343000	40804000				723	7022;7376;11129	True;True;True	7081;7439;11242	20885;21858;21859;33012	37840;39443;39444;39445;39446;39447;59220	37840;39447;59220			-1
P32770	P32770	2	2	2	Asparagine-rich protein	NRP1	sp|P32770|NRP1_YEAST Asparagine-rich protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NRP1 PE=1 SV=2	1	2	2	2	6.3	6.3	6.3	79.298	719	719	0	6.1325	NaN	NaN	NaN	0	0	Median	6040300	6040300	0				724	1638;12127	True;True	1655;12248	5209;5210;35894	9658;9659;64239	9659;64239			-1
P32771	P32771	9	9	9	S-(hydroxymethyl)glutathione dehydrogenase	SFA1	sp|P32771|FADH_YEAST S-(hydroxymethyl)glutathione dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SFA1 PE=1 SV=1	1	9	9	9	32.4	32.4	32.4	41.042	386	386	0	57.195	0.61869	0.94836	29.359	12	0	Leave out requantified	2323300000	1420500000	902830000				725	1365;2156;2413;3835;4698;7030;11130;11465;13740	True;True;True;True;True;True;True;True;True	1381;2179;2437;3867;4737;7089;11243;11578;13876	4391;4392;6852;6853;7592;7593;7594;7595;7596;11639;11640;14185;14186;14187;20900;20901;20902;33013;33014;33782;33783;41044;41045	8155;8156;12610;12611;13908;13909;13910;13911;13912;13913;21286;21287;26022;26023;26024;26025;37867;37868;37869;37870;59221;59222;59223;59224;60478;60479;73429;73430	8155;12611;13912;21286;26024;37868;59221;60479;73430			-1
P32774	P32774	2	2	2	Transcription initiation factor IIA subunit 2	TOA2	sp|P32774|T2AG_YEAST Transcription initiation factor IIA subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOA2 PE=1 SV=1	1	2	2	2	26.2	26.2	26.2	13.458	122	122	0	14.599	0.76715	1.186	2.3591	2	0	Median	170470000	88901000	81565000				726	12768;15237	True;True	12896;15386	37692;45879;45880	67391;67392;82310;82311;82312	67391;82312			-1
P32787	P32787	7	7	7	Mitochondrial genome maintenance protein MGM101	MGM101	sp|P32787|MG101_YEAST Mitochondrial genome maintenance protein MGM101 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MGM101 PE=1 SV=1	1	7	7	7	32.3	32.3	32.3	30.09	269	269	0	11.138	0.86941	1.3865	19.297	8	0	Leave out requantified	376920000	229280000	147640000				727	237;1589;1712;1713;3890;7725;11800	True;True;True;True;True;True;True	241;1606;1731;1732;3922;7789;11916	928;929;5049;5050;5421;5422;5423;5424;11782;11783;22878;34813	1630;1631;9341;9342;9343;10032;10033;10034;10035;21540;21541;21542;41258;62350	1630;9342;10032;10034;21541;41258;62350			-1
P32790	P32790	6	6	6	Actin cytoskeleton-regulatory complex protein SLA1	SLA1	sp|P32790|SLA1_YEAST Actin cytoskeleton-regulatory complex protein SLA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SLA1 PE=1 SV=1	1	6	6	6	9.2	9.2	9.2	135.85	1244	1244	0	25.463	0.71231	1.1159	24.47	6	0	Leave out requantified	409930000	267670000	142260000				728	4172;5060;5193;13292;14590;16059	True;True;True;True;True;True	4204;5105;5241;13423;14736;16214	12478;12479;15150;15537;39325;39326;43880;43881;48281;48282;48283;48284	22841;22842;22843;27708;28402;70410;70411;70412;70413;78593;78594;78595;78596;86724;86725;86726;86727	22841;27708;28402;70412;78595;86724			-1
P32794	P32794	2	2	2	ATPase family gene 2 protein	AFG2	sp|P32794|AFG2_YEAST ATPase family gene 2 protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AFG2 PE=1 SV=1	1	2	2	2	5.3	5.3	5.3	84.747	780	780	0	12.961	0.56467	0.86136	35.53	2	0	Median	38357000	32180000	6177000				729	8092;15954	True;True	8159;16108	24025;24026;24027;24028;48009;48010	43362;43363;43364;43365;43366;43367;43368;86192;86193	43362;86192			-1
