Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
P25502	P25502	1	1	1	Proline utilization trans-activator	PUT3	sp|P25502|PUT3_YEAST Proline utilization trans-activator OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PUT3 PE=1 SV=1	1	1	1	1	1.9	1.9	1.9	111.41	979	979	1	-2	NaN	NaN	NaN	1	0	Median	37702000	25251000	12452000	+			511	11838	True	11967	35576	64251	64251	125;126	707;710	-1
P25515	P25515	1	1	1	V-type proton ATPase subunit c	VMA3	sp|P25515|VATL1_YEAST V-type proton ATPase subunit c OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA3 PE=1 SV=1	1	1	1	1	11.2	11.2	11.2	16.35	160	160	0.004329	2.086	NaN	NaN	NaN	1	0	Median	69065000	30900000	38165000				512	11403	True	11523	34125;34126	61590;61591	61590			-1
P25554	P25554	1	1	1	SAGA-associated factor 29	SGF29	sp|P25554|SGF29_YEAST SAGA-associated factor 29 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SGF29 PE=1 SV=2	1	1	1	1	6.9	6.9	6.9	29.381	259	259	0	72.978	0.56598	0.88862	10.085	3	0	Median	37196000	25301000	11895000				513	2057	True	2078	6668;6669;6670;6671	12319;12320;12321;12322;12323;12324	12324			-1
P25555	P25555	3	3	3	Single-strand telomeric DNA-binding protein GBP2	GBP2	sp|P25555|GBP2_YEAST Single-strand telomeric DNA-binding protein GBP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GBP2 PE=1 SV=1	1	3	3	3	8.4	8.4	8.4	48.728	427	427	0	15.911	0.61707	0.89186	1.5383	2	0	Median	74787000	27523000	47263000				514	3294;3460;11134	True;True;True	3323;3490;11251	10307;10308;10729;33291;33292;33293	18818;18819;19600;60103;60104;60105;60106;60107;60108;60109	18819;19600;60108			-1
P25567	P25567	14	14	14	RNA-binding protein SRO9	SRO9	sp|P25567|SRO9_YEAST RNA-binding protein SRO9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SRO9 PE=1 SV=2	1	14	14	14	44.5	44.5	44.5	48.059	434	434	0	314.79	0.50975	0.76586	31.885	27	0	Leave out requantified	3034400000	1998500000	1035900000				515	1015;1421;1477;1478;2121;2122;6289;7076;7077;8239;10629;10992;12392;14680	True;True;True;True;True;True;True;True;True;True;True;True;True;True	1028;1436;1492;1493;2143;2144;6344;7137;7138;8313;10740;11108;12524;14843	3376;3377;4675;4676;4677;4678;4679;4680;4890;4891;4892;6871;6872;6873;6874;6875;6876;6877;6878;19221;21339;21340;21341;21342;21343;21344;21345;24990;24991;24992;24993;24994;24995;31946;31947;32787;32788;37295;37296;44766;44767;44768;44769;44770;44771;44772;44773	6296;6297;8660;8661;8662;8663;8664;8665;8666;8667;8668;8669;8670;8671;8672;8673;9036;9037;9038;9039;9040;9041;9042;9043;9044;9045;9046;9047;12645;12646;12647;12648;12649;12650;12651;12652;12653;12654;12655;12656;35128;38729;38730;38731;38732;38733;38734;38735;38736;38737;38738;38739;38740;38741;38742;38743;38744;38745;38746;38747;45373;45374;45375;45376;45377;45378;45379;45380;57864;57865;57866;57867;57868;59201;59202;67407;67408;81308;81309;81310;81311;81312;81313;81314;81315;81316;81317;81318;81319;81320;81321	6297;8667;9042;9046;12647;12655;35128;38731;38746;45375;57866;59201;67407;81317			-1
P25572	P25572	1	1	1	Putative uncharacterized protein YCL042W		sp|P25572|YCE2_YEAST Putative uncharacterized protein YCL042W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YCL042W PE=4 SV=2	1	1	1	1	7.6	7.6	7.6	13.36	119	119	0.0010277	2.8935	0.74592	0.83426	0.99852	2	0	Median	6208400000	3343200000	2865200000				516	5413	True	5462	16559;16560	30314;30315	30315			-1
P25574	P25574	9	9	9	ER membrane protein complex subunit 1	EMC1	sp|P25574|EMC1_YEAST ER membrane protein complex subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EMC1 PE=1 SV=1	1	9	9	9	18.3	18.3	18.3	87.18	760	760	0	29.932	0.64383	0.90075	21.01	13	0	Leave out requantified	1375600000	899650000	475980000				517	2100;2973;7254;7255;8006;8412;9676;9778;10283	True;True;True;True;True;True;True;True;True	2121;3002;7315;7316;8078;8487;9776;9880;10391	6795;6796;6797;9511;21825;21826;24210;24211;24212;24213;25528;25529;25530;29309;29684;31044;31045	12508;12509;12510;12511;12512;12513;17359;39617;39618;44020;44021;44022;44023;44024;44025;44026;44027;46321;46322;46323;53142;53823;56321;56322;56323	12511;17359;39617;39618;44020;46322;53142;53823;56323			-1
P25582	P25582	8	8	8	27S pre-rRNA (guanosine(2922)-2-O)-methyltransferase	SPB1	sp|P25582|SPB1_YEAST 27S pre-rRNA (guanosine(2922)-2-O)-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPB1 PE=1 SV=2	1	8	8	8	20.9	20.9	20.9	96.484	841	841	0	67.654	0.42152	0.68759	18.152	5	0	Leave out requantified	190620000	138680000	51945000				518	154;1810;7654;8948;9093;9593;12606;12612	True;True;True;True;True;True;True;True	156;1829;7721;9032;9184;9692;12742;12749	662;663;5903;23093;23094;23095;27221;27222;27223;27652;27653;27654;29095;37977;37997;37998	1150;1151;1152;1153;10917;41975;41976;41977;41978;49391;49392;49393;49394;49395;50173;50174;50175;50176;52774;68623;68624;68646;68647;68648;68649;68650	1153;10917;41978;49391;50176;52774;68623;68649			-1
P25586	P25586	5	5	5	KRR1 small subunit processome component	KRR1	sp|P25586|KRR1_YEAST KRR1 small subunit processome component OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KRR1 PE=1 SV=1	1	5	5	5	17.7	17.7	17.7	37.159	316	316	0	17.219	0.68308	0.99522	14.137	5	0	Leave out requantified	477670000	312930000	164740000				519	543;5510;6838;9520;10959	True;True;True;True;True	551;5559;6897;9617;11074	1946;1947;1948;16811;16812;20691;28895;28896;32715	3681;3682;3683;30785;30786;30787;37618;52428;52429;59100	3681;30785;37618;52429;59100			-1
P25588	P25588	1	1	1	Mediator of replication checkpoint protein 1	MRC1	sp|P25588|MRC1_YEAST Mediator of replication checkpoint protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRC1 PE=1 SV=3	1	1	1	1	1.9	1.9	1.9	124.32	1096	1096	0.0033997	2.1588	0.49207	0.712	3.4647	2	0	Median	3715900	2384800	1331100				520	5706	True	5759	17365;17366	31778;31779	31778			-1
P25605	P25605	10	10	10	Acetolactate synthase small subunit, mitochondrial	ILV6	sp|P25605|ILV6_YEAST Acetolactate synthase small subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ILV6 PE=1 SV=2	1	10	10	10	57.6	57.6	57.6	33.986	309	309	0	157.87	0.61548	0.91203	26.964	24	0	Leave out requantified	5894200000	3677900000	2216400000				521	2334;3750;4465;5864;6735;7704;8611;10281;10337;11368	True;True;True;True;True;True;True;True;True;True	2358;3781;4503;5917;6793;7771;8687;10389;10445;11487	7443;7444;7445;7446;7447;7448;7449;11575;11576;11577;11578;11579;11580;13771;13772;17824;17825;17826;20421;20422;20423;20424;20425;23229;23230;23231;23232;23233;23234;26140;31038;31039;31040;31041;31181;34034;34035	13624;13625;13626;13627;13628;13629;13630;13631;13632;13633;13634;21178;21179;21180;21181;21182;21183;21184;21185;21186;21187;21188;21189;21190;21191;25340;25341;32623;32624;32625;32626;32627;37177;37178;37179;37180;37181;37182;37183;37184;37185;37186;37187;37188;42186;42187;42188;42189;42190;42191;42192;42193;42194;42195;42196;42197;42198;42199;42200;42201;42202;42203;47454;56313;56314;56315;56316;56317;56318;56569;61455;61456;61457;61458	13630;21182;25340;32627;37183;42203;47454;56315;56569;61455			-1
P25617	P25617	4	4	4	Uncharacterized protein YCR016W		sp|P25617|YCQ6_YEAST Uncharacterized protein YCR016W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YCR016W PE=1 SV=2	1	4	4	4	25.9	25.9	25.9	33.593	290	290	0	46.459	0.47354	0.67072	30.345	6	0	Leave out requantified	1848000000	1066000000	781930000				522	660;1001;4166;10381	True;True;True;True	670;1014;4199;10490	2292;3315;3316;3317;3318;3319;12737;31280	4326;6174;6175;6176;6177;6178;6179;6180;6181;6182;23302;23303;23304;23305;56715	4326;6181;23305;56715			-1
P25623	P25623	2	2	2	Suppressor of yeast profilin deletion	SYP1	sp|P25623|SYP1_YEAST Suppressor of yeast profilin deletion OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SYP1 PE=1 SV=3	1	2	2	2	3.2	3.2	3.2	96.136	870	870	0	4.9876	0.71827	1.1096	28.114	5	0	Leave out requantified	49569000	28297000	21272000				523	9779;10079	True;True	9881;10186	29685;29686;29687;30500;30501	53824;53825;53826;53827;55373;55374;55375;55376	53827;55376			-1
P25626	P25626	1	1	1	54S ribosomal protein IMG1, mitochondrial	IMG1	sp|P25626|IMG1_YEAST 54S ribosomal protein IMG1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IMG1 PE=1 SV=1	1	1	1	1	8.9	8.9	8.9	19.393	169	169	1	-2	NaN	NaN	NaN	0	0	Median	60040000	60040000	0	+			524	7830	True	7899	23580	42872	42872	127	17	-1
P25631	P25631	4	4	4	Ankyrin repeat-containing protein YCR051W		sp|P25631|YCU1_YEAST Ankyrin repeat-containing protein YCR051W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YCR051W PE=1 SV=1	1	4	4	4	31.1	31.1	31.1	24.694	222	222	0	126.08	NaN	NaN	NaN	1	0	Median	305030000	292860000	12164000				525	2586;7781;11401;15387	True;True;True;True	2611;7850;11521;15553	8267;8268;8269;8270;23434;23435;34112;34113;34114;46951	15126;15127;15128;15129;15130;42592;42593;61573;61574;61575;85277	15130;42593;61573;85277			-1
P25632	P25632	2	2	2	Chromatin structure-remodeling complex protein RSC6	RSC6	sp|P25632|RSC6_YEAST Chromatin structure-remodeling complex protein RSC6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RSC6 PE=1 SV=1	1	2	2	2	6.6	6.6	6.6	54.164	483	483	0	5.0484	NaN	NaN	NaN	0	0	Median	107420000	107420000	0				526	6175;14112	True;True	6229;14270	18881;43068;43069	34537;34538;77985;77986;77987;77988	34538;77985			-1
P25637	P25637	1	1	1	Protein IMPACT homolog	YIH1	sp|P25637|YIH1_YEAST Protein IMPACT homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YIH1 PE=1 SV=1	1	1	1	1	9.7	9.7	9.7	29.017	258	258	0.00054289	3.7145	NaN	NaN	NaN	0	0	Median	5043600	5043600	0				527	8822	True	8899	26740;26741;26742	48489;48490;48491;48492	48491			-1
P25638	P25638	2	2	2	TPR repeat-containing protein associated with Hsp90	TAH1	sp|P25638|TAH1_YEAST TPR repeat-containing protein associated with Hsp90 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TAH1 PE=1 SV=1	1	2	2	2	24.3	24.3	24.3	12.511	111	111	0.0029383	2.2679	NaN	NaN	NaN	0	0	Median	93046000	0	93046000				528	7386;15397	True;True	7448;15563	22277;46974;46975	40443;85317;85318	40443;85317			-1
P25644	P25644	4	4	4	DNA topoisomerase 2-associated protein PAT1	PAT1	sp|P25644|PAT1_YEAST DNA topoisomerase 2-associated protein PAT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PAT1 PE=1 SV=4	1	4	4	4	7.9	7.9	7.9	88.51	796	796	0	31.312	0.49272	0.78726	13.994	7	0	Leave out requantified	59378000	36882000	22495000				529	5273;5274;11885;12430	True;True;True;True	5321;5322;12015;12563	16122;16123;16124;16125;16126;35686;35687;37405;37406	29551;29552;29553;29554;29555;29556;29557;29558;29559;29560;29561;29562;64451;64452;64453;64454;64455;64456;64457;64458;64459;64460;64461;64462;67590;67591	29554;29562;64456;67591			-1
P25651	P25651	2	2	2	Monopolin complex subunit CSM1	CSM1	sp|P25651|CSM1_YEAST Monopolin complex subunit CSM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CSM1 PE=1 SV=1	1	2	2	2	24.2	24.2	24.2	21.751	190	190	0.00052411	3.1351	NaN	NaN	NaN	0	0	Median	15034000	14739000	295680				530	8140;13265	True;True	8213;13410	24554;24555;40241	44646;44647;44648;72618	44647;72618			-1
P25654	P25654	3	3	3	UPF0587 protein YCR090C		sp|P25654|YCY0_YEAST UPF0587 protein YCR090C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YCR090C PE=1 SV=1	1	3	3	3	19.8	19.8	19.8	20.703	182	182	0.0010152	2.7766	NaN	NaN	NaN	0	0	Median	0	0	0				531	10149;13990;14055	True;True;True	10257;14146;14213	30705;30706;42667;42919	55718;55719;77164;77696	55719;77164;77696			-1
P25655	P25655	11	11	11	General negative regulator of transcription subunit 1	CDC39	sp|P25655|NOT1_YEAST General negative regulator of transcription subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC39 PE=1 SV=3	1	11	11	11	8.3	8.3	8.3	240.28	2108	2108	0	26.951	0.52313	0.8195	9.6116	6	0	Leave out requantified	436010000	328720000	107290000				532	1122;2427;7623;9625;9981;10342;11752;12070;12265;12389;12990	True;True;True;True;True;True;True;True;True;True;True	1135;2451;7690;9725;10088;10450;11880;12200;12395;12521;13133	3695;7729;7730;7731;23012;23013;29181;30226;31188;35283;35284;36250;36849;36850;37286;39377;39378	6877;14088;14089;14090;14091;14092;14093;14094;14095;14096;14097;41816;41817;52917;54833;56576;63683;63684;63685;63686;63687;65400;66523;66524;67391;67392;71197;71198	6877;14092;41816;52917;54833;56576;63686;65400;66524;67392;71198			-1
P25694	P25694	42	42	42	Cell division control protein 48	CDC48	sp|P25694|CDC48_YEAST Cell division control protein 48 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC48 PE=1 SV=3	1	42	42	42	63.8	63.8	63.8	91.995	835	835	0	323.31	0.67282	0.95557	21.557	88	0	Leave out requantified	23413000000	13346000000	10067000000				533	10;232;456;1119;1142;1147;1698;1763;1828;2048;2049;2182;2326;2499;2500;2723;2887;3687;3803;3804;4115;4351;6204;6381;6832;6993;7198;7369;8372;8800;8801;9265;9266;10029;10964;11925;11926;13206;13757;14682;14692;14901	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	10;235;463;1132;1155;1160;1716;1781;1848;2069;2070;2205;2206;2350;2523;2524;2752;2916;3718;3834;3835;4148;4387;6258;6438;6891;7054;7259;7431;8447;8876;8877;8878;9360;9361;10136;11079;12055;12056;13350;13911;14845;14855;15065	47;48;49;50;51;970;971;1688;1689;3683;3684;3685;3686;3687;3745;3746;3747;3748;3749;3750;3751;3752;3753;3754;3755;3756;3771;3772;3773;3774;5560;5561;5562;5563;5564;5764;5765;5766;5767;5952;6647;6648;6649;6650;6651;7029;7030;7031;7032;7033;7425;8002;8003;8004;8005;8006;8007;8008;8009;8631;9212;9213;11394;11715;11716;12581;12582;13322;13323;18994;19468;19469;19470;20680;20681;21136;21137;21138;21139;21140;21673;21674;21675;22216;22217;22218;22219;22220;25415;26684;26685;26686;26687;26688;26689;26690;26691;26692;26693;26694;28157;28158;28159;28160;28161;28162;28163;28164;28165;28166;28167;30361;30362;32724;32725;32726;35811;35812;35813;35814;40052;40053;40054;40055;40056;41928;41929;41930;41931;44776;44777;44778;44779;44815;44816;44817;44818;45563;45564;45565;45566	83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;1735;1736;1737;1738;3162;3163;3164;3165;6857;6858;6859;6860;6861;6862;6964;6965;6966;6967;6968;6969;6970;6971;6972;6973;6974;6975;6976;6977;6978;6979;6980;6981;6982;7003;7004;7005;7006;10309;10310;10311;10312;10313;10672;10673;10674;10675;10676;10677;10678;10988;12285;12286;12287;12288;12289;12290;12291;12292;12931;12932;12933;12934;12935;12936;13601;13602;13603;14641;14642;14643;14644;14645;14646;14647;14648;14649;14650;14651;15734;16815;16816;16817;16818;20853;20854;21459;21460;23027;23028;24447;24448;24449;24450;24451;24452;34740;35548;35549;35550;35551;35552;37600;37601;37602;38394;38395;38396;38397;38398;39328;39329;39330;39331;39332;39333;39334;39335;39336;40320;40321;40322;40323;40324;40325;40326;40327;46119;48405;48406;48407;48408;48409;48410;48411;48412;48413;48414;48415;48416;48417;48418;48419;48420;48421;51113;51114;51115;51116;51117;51118;51119;51120;51121;51122;51123;51124;51125;51126;51127;51128;51129;51130;51131;51132;51133;51134;51135;51136;51137;51138;55078;55079;59111;59112;59113;59114;59115;64677;64678;64679;64680;64681;64682;72300;72301;72302;72303;72304;72305;72306;72307;72308;72309;72310;75772;75773;75774;75775;75776;75777;81324;81325;81326;81327;81328;81329;81330;81331;81332;81333;81334;81435;81436;81437;81438;81439;81440;81441;81442;81443;81444;81445;81446;82795;82796;82797;82798;82799;82800;82801;82802	92;1735;3163;6862;6976;7006;10310;10672;10988;12285;12291;12935;13602;14641;14648;15734;16818;20854;21459;21460;23027;24448;34740;35549;37601;38396;39334;40326;46119;48406;48421;51125;51138;55079;59114;64677;64682;72300;75773;81325;81436;82802	128;129	288;762	-1
P25719	P25719	5	5	5	Peptidyl-prolyl cis-trans isomerase C, mitochondrial	CPR3	sp|P25719|CYPC_YEAST Peptidyl-prolyl cis-trans isomerase C, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CPR3 PE=1 SV=1	1	5	5	5	47.3	47.3	47.3	19.919	182	182	0	78.855	0.63775	0.90446	21.687	15	0	Leave out requantified	3572900000	2105700000	1467100000				534	338;435;4809;5026;5306	True;True;True;True;True	341;442;4855;5073;5354	1306;1307;1308;1622;1623;1624;1625;14700;14701;15352;15353;16203;16204;16205;16206;16207;16208;16209	2388;2389;2390;2391;2392;3032;3033;3034;3035;3036;3037;3038;3039;26899;26900;26901;26902;28074;28075;29733;29734;29735;29736;29737;29738;29739;29740;29741;29742	2389;3036;26899;28075;29733			-1
P25808	P25808	1	1	1	ATP-dependent rRNA helicase SPB4	SPB4	sp|P25808|SPB4_YEAST ATP-dependent rRNA helicase SPB4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPB4 PE=1 SV=1	1	1	1	1	6.3	6.3	6.3	69.421	606	606	0	8.443	NaN	NaN	NaN	0	0	Median	3001100	3001100	0				535	12739	True	12878	38395	69372	69372			-1
P25847	P25847	3	3	3	DNA mismatch repair protein MSH2	MSH2	sp|P25847|MSH2_YEAST DNA mismatch repair protein MSH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MSH2 PE=1 SV=2	1	3	3	3	4.6	4.6	4.6	108.88	964	964	0	7.8263	0.61441	0.9615	28.72	2	0	Median	70319000	31935000	38385000				536	406;4385;14597	True;True;True	412;4422;14758	1525;1526;13529;44525	2815;2816;24841;80796	2816;24841;80796	130	745	-1
P26188	P26188	1	1	1	Methylated-DNA--protein-cysteine methyltransferase	MGT1	sp|P26188|MGMT_YEAST Methylated-DNA--protein-cysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MGT1 PE=1 SV=3	1	1	1	1	9.6	9.6	9.6	21.499	188	188	0	4.9146	NaN	NaN	NaN	0	0	Median	0	0	0				537	10251	True	10359	30965	56201	56201			-1
P26321	P26321	17	17	17	60S ribosomal protein L5	RPL5	sp|P26321|RL5_YEAST 60S ribosomal protein L5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL5 PE=1 SV=4	1	17	17	17	62.3	62.3	62.3	33.714	297	297	0	323.31	0.72215	0.97146	27.236	71	0	Leave out requantified	59097000000	31337000000	27759000000				538	137;138;589;2602;3333;3470;3471;3483;3626;4330;4420;6374;7413;7414;12402;12403;13822	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	139;140;599;2627;3362;3500;3501;3513;3657;4366;4457;6430;7475;7476;12535;12536;13977	619;620;621;622;623;2078;2079;8313;8314;10382;10383;10384;10385;10386;10387;10388;10389;10758;10759;10760;10761;10762;10763;10764;10765;10766;10805;11229;11230;11231;11232;11233;13210;13211;13212;13213;13638;13639;13640;13641;13642;13643;13644;13645;13646;13647;13648;19450;19451;22344;22345;22346;22347;22348;22349;22350;22351;22352;22353;22354;22355;22356;22357;22358;22359;22360;22361;22362;22363;22364;22365;22366;22367;22368;22369;22370;22371;22372;22373;22374;22375;22376;22377;22378;22379;22380;22381;22382;22383;22384;22385;22386;22387;22388;22389;22390;22391;22392;22393;37333;37334;37335;37336;37337;37338;37339;37340;37341;37342;37343;42167;42168;42169;42170;42171;42172;42173;42174	1085;1086;1087;1088;1089;1090;1091;1092;1093;3903;3904;15201;15202;15203;18963;18964;18965;18966;18967;18968;18969;18970;18971;18972;18973;18974;18975;18976;18977;18978;18979;18980;18981;18982;18983;18984;18985;18986;18987;18988;18989;18990;18991;18992;18993;18994;18995;18996;18997;19655;19656;19657;19658;19659;19660;19661;19662;19663;19664;19665;19666;19667;19668;19741;19742;20540;20541;20542;20543;20544;20545;20546;20547;20548;24209;24210;24211;24212;25071;25072;25073;25074;25075;25076;25077;25078;25079;25080;25081;25082;25083;25084;25085;25086;25087;25088;25089;25090;25091;25092;25093;25094;25095;25096;25097;25098;25099;25100;35520;35521;35522;40563;40564;40565;40566;40567;40568;40569;40570;40571;40572;40573;40574;40575;40576;40577;40578;40579;40580;40581;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597;40598;40599;40600;40601;40602;40603;40604;40605;40606;40607;40608;40609;40610;40611;40612;40613;40614;40615;40616;40617;40618;40619;40620;40621;40622;40623;40624;40625;40626;40627;40628;40629;40630;40631;40632;40633;40634;67483;67484;67485;67486;67487;67488;67489;67490;67491;67492;67493;67494;67495;67496;67497;67498;67499;67500;67501;67502;76205;76206;76207;76208;76209;76210;76211;76212;76213;76214;76215;76216;76217;76218;76219;76220;76221;76222;76223;76224;76225;76226;76227;76228	1089;1091;3903;15202;18964;19658;19668;19741;20543;24210;25093;35521;40564;40603;67486;67489;76210			-1
P26570;P33329	P26570;P33329	2;1	2;1	2;1	Serine/threonine-protein phosphatase PP-Z1;Serine/threonine-protein phosphatase PP-Z2	PPZ1;PPZ2	sp|P26570|PPZ1_YEAST Serine/threonine-protein phosphatase PP-Z1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PPZ1 PE=1 SV=5;sp|P33329|PPZ2_YEAST Serine/threonine-protein phosphatase PP-Z2 OS=Saccharomyces cerevisiae (strain ATCC 20	2	2	2	2	4.2	4.2	4.2	77.49	692	692;710	0	15.427	0.64077	0.95794	1.4977	5	0	Leave out requantified	512400000	298860000	213540000				539	5383;12664	True;True	5432;12802	16487;16488;38117;38118;38119;38120	30176;30177;30178;30179;68849;68850;68851;68852;68853;68854;68855	30176;68851			-1;-1
